p_value,strong,unilateral,weak,disconnected,scc_mean,edge_mean
0.048,232,669,996,4,2.589,475.491
0.049,250,718,995,5,2.471,485.478
0.05,294,776,998,2,2.265,494.389
0.051,331,806,997,3,2.129,502.873
0.052,359,823,995,5,2.045,513.719
0.053,388,841,1000,0,1.973,523.47
0.054,445,892,999,1,1.833,533.698
0.055,446,887,1000,0,1.797,542.632
0.056,552,910,998,2,1.65,552.952
0.057,572,937,999,1,1.57,563.323
0.058,595,940,999,1,1.532,572.87
0.059,614,949,1000,0,1.495,583.199
0.060,676,971,1000,0,1.397,594.109
0.061,668,966,1000,0,1.403,604.755
0.062,687,971,1000,0,1.387,612.327
0.063,729,967,1000,0,1.337,623.182
0.064,743,975,1000,0,1.308,631.984
0.065,774,989,1000,0,1.254,642.161
0.066,802,986,999,1,1.232,651.835
0.067,814,987,1000,0,1.214,661.46
0.068,810,995,1000,0,1.205,671.513
0.069,849,994,1000,0,1.167,682.116
0.070,846,999,1000,0,1.163,692.31
0.071,874,996,1000,0,1.136,700.697
0.072,888,996,1000,0,1.121,711.322
0.073,897,998,1000,0,1.109,722.542
0.074,902,998,1000,0,1.105,731.453
0.075,919,997,1000,0,1.085,741.391
0.076,920,998,1000,0,1.082,751.355
0.077,925,998,1000,0,1.078,761.477
0.078,931,998,1000,0,1.072,773.163
0.079,944,998,1000,0,1.058,780.129
0.080,935,997,1000,0,1.069,788.677
0.081,949,999,1000,0,1.052,801.348
0.082,962,1000,1000,0,1.038,810.653
0.083,962,1000,1000,0,1.038,820.407
0.084,975,1000,1000,0,1.025,830.352
0.085,967,1000,1000,0,1.034,840.012
0.086,980,1000,1000,0,1.021,849.105
0.087,983,1000,1000,0,1.018,860.42
0.088,976,1000,1000,0,1.024,870.088
0.089,984,1000,1000,0,1.016,880.486
0.090,982,1000,1000,0,1.018,890.983
0.091,982,1000,1000,0,1.018,900.569
0.092,989,1000,1000,0,1.011,909.622
0.093,982,1000,1000,0,1.018,918.835
0.094,994,999,1000,0,1.007,930.144
0.095,986,1000,1000,0,1.014,940.269
0.096,990,1000,1000,0,1.01,949.081
0.097,991,1000,1000,0,1.009,958.414
0.098,994,1000,1000,0,1.006,970.204
0.099,988,1000,1000,0,1.012,979.338
0.1,991,1000,1000,0,1.009,990.863
0.101,994,1000,1000,0,1.006,998.284
0.102,997,1000,1000,0,1.003,1008.47
0.103,997,1000,1000,0,1.003,1018.285
0.104,991,1000,1000,0,1.009,1028.61
0.105,997,1000,1000,0,1.003,1038.399
0.106,995,1000,1000,0,1.005,1048.215
0.107,999,1000,1000,0,1.001,1056.48
0.108,998,1000,1000,0,1.002,1068.043
0.109,998,1000,1000,0,1.002,1079.049
0.11,997,1000,1000,0,1.003,1086.868
0.111,1000,1000,1000,0,1.0,1097.841
0.112,998,1000,1000,0,1.002,1107.636
0.113,999,1000,1000,0,1.001,1117.999
0.114,998,1000,1000,0,1.002,1129.211
0.115,999,1000,1000,0,1.001,1136.563
0.116,1000,1000,1000,0,1.0,1148.1
0.117,999,1000,1000,0,1.001,1159.501
0.118,1000,1000,1000,0,1.0,1167.948
0.119,1000,1000,1000,0,1.0,1175.885
0.120,1000,1000,1000,0,1.0,1189.303
0.121,1000,1000,1000,0,1.0,1196.103
0.122,1000,1000,1000,0,1.0,1207.312
0.123,1000,1000,1000,0,1.0,1215.261
0.124,999,1000,1000,0,1.001,1224.533
0.125,1000,1000,1000,0,1.0,1237.238
0.126,1000,1000,1000,0,1.0,1246.686
0.127,999,1000,1000,0,1.001,1255.595
0.128,999,1000,1000,0,1.001,1267.733
0.129,1000,1000,1000,0,1.0,1275.385
0.13,1000,1000,1000,0,1.0,1286.094
0.131,1000,1000,1000,0,1.0,1295.939
0.132,1000,1000,1000,0,1.0,1306.058
0.133,1000,1000,1000,0,1.0,1317.411
0.134,1000,1000,1000,0,1.0,1325.461
0.135,1000,1000,1000,0,1.0,1333.634
0.136,1000,1000,1000,0,1.0,1344.271
0.137,1000,1000,1000,0,1.0,1354.03
0.138,1000,1000,1000,0,1.0,1366.181
0.139,1000,1000,1000,0,1.0,1377.969
0.140,1000,1000,1000,0,1.0,1384.04
0.141,1000,1000,1000,0,1.0,1395.005
0.142,1000,1000,1000,0,1.0,1403.252
0.143,1000,1000,1000,0,1.0,1414.315
0.144,1000,1000,1000,0,1.0,1424.066
0.145,1000,1000,1000,0,1.0,1433.837
0.146,1000,1000,1000,0,1.0,1444.206
0.147,1000,1000,1000,0,1.0,1454.051
0.148,1000,1000,1000,0,1.0,1463.138
0.149,1000,1000,1000,0,1.0,1473.8
0.150,999,1000,1000,0,1.001,1481.379
0.151,1000,1000,1000,0,1.0,1494.599
0.152,1000,1000,1000,0,1.0,1501.801
0.153,1000,1000,1000,0,1.0,1514.2
0.154,1000,1000,1000,0,1.0,1522.98
0.155,1000,1000,1000,0,1.0,1533.052
0.156,1000,1000,1000,0,1.0,1542.69
0.157,1000,1000,1000,0,1.0,1552.724
0.158,1000,1000,1000,0,1.0,1562.242
0.159,1000,1000,1000,0,1.0,1572.005
0.160,1000,1000,1000,0,1.0,1579.901
0.161,1000,1000,1000,0,1.0,1589.664
0.162,1000,1000,1000,0,1.0,1603.254
0.163,1000,1000,1000,0,1.0,1610.565
0.164,1000,1000,1000,0,1.0,1620.107
0.165,1000,1000,1000,0,1.0,1634.637
0.166,1000,1000,1000,0,1.0,1641.951
0.167,1000,1000,1000,0,1.0,1650.719
0.168,1000,1000,1000,0,1.0,1660.609
0.169,1000,1000,1000,0,1.0,1672.576
0.170,1000,1000,1000,0,1.0,1682.61
0.171,1000,1000,1000,0,1.0,1689.28
0.172,1000,1000,1000,0,1.0,1700.525
0.173,1000,1000,1000,0,1.0,1711.321
0.174,1000,1000,1000,0,1.0,1720.373
0.175,1000,1000,1000,0,1.0,1733.104
0.176,1000,1000,1000,0,1.0,1741.183
0.177,1000,1000,1000,0,1.0,1751.618
0.178,1000,1000,1000,0,1.0,1759.956
0.179,1000,1000,1000,0,1.0,1770.549
0.180,1000,1000,1000,0,1.0,1781.412
0.181,1000,1000,1000,0,1.0,1791.514
0.182,1000,1000,1000,0,1.0,1798.769
0.183,1000,1000,1000,0,1.0,1808.78
0.184,1000,1000,1000,0,1.0,1817.741
0.185,1000,1000,1000,0,1.0,1828.807
0.186,1000,1000,1000,0,1.0,1841.472
0.187,1000,1000,1000,0,1.0,1851.066
0.188,1000,1000,1000,0,1.0,1859.444
0.189,1000,1000,1000,0,1.0,1869.141
0.190,1000,1000,1000,0,1.0,1877.962
0.191,1000,1000,1000,0,1.0,1887.729
0.192,1000,1000,1000,0,1.0,1901.711
0.193,1000,1000,1000,0,1.0,1907.517
0.194,1000,1000,1000,0,1.0,1920.302
0.195,1000,1000,1000,0,1.0,1929.235
0.196,1000,1000,1000,0,1.0,1937.594
0.197,1000,1000,1000,0,1.0,1948.115
0.198,1000,1000,1000,0,1.0,1960.112
0.199,1000,1000,1000,0,1.0,1967.976
0.2,1000,1000,1000,0,1.0,1979.487
